pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
COL4A2__endothelial|SV2A__Adarb2-iNeuron,COL4A2,SV2A,endothelial,Adarb2-iNeuron,33,18,0.001073861
SEMA7A__L2-L3-eNeuron|ESAM__endothelial,SEMA7A,ESAM,L2-L3-eNeuron,endothelial,74,33,0.0010727405
ADAM15__L2-L3-eNeuron|EPHB6__L6-eNeuron,ADAM15,EPHB6,L2-L3-eNeuron,L6-eNeuron,74,124,0.0010726004
GAS6__L2-L3-eNeuron|EPHB6__L5-eNeuron,GAS6,EPHB6,L2-L3-eNeuron,L5-eNeuron,74,64,0.001071476
LAMB2__endothelial|FLOT1__L4-eNeuron,LAMB2,FLOT1,endothelial,L4-eNeuron,33,96,0.0010713039
LGI4__astrocytes|LINGO1__L2-L3-eNeuron,LGI4,LINGO1,astrocytes,L2-L3-eNeuron,31,74,0.0010712653
SEMA7A__L6-eNeuron|ERBB4__Lhx6-iNeuron,SEMA7A,ERBB4,L6-eNeuron,Lhx6-iNeuron,124,29,0.0010712465
NTRK3__L6-eNeuron|DAG1__OPC,NTRK3,DAG1,L6-eNeuron,OPC,124,18,0.0010710548
LAMC1__endothelial|S1PR1__astrocytes,LAMC1,S1PR1,endothelial,astrocytes,33,31,0.0010707214
LAMB2__mural|GABBR2__L6-eNeuron,LAMB2,GABBR2,mural,L6-eNeuron,10,124,0.0010704688
AGRN__L5-eNeuron|DAG1__astrocytes,AGRN,DAG1,L5-eNeuron,astrocytes,64,31,0.0010702893
SEMA5A__L6-eNeuron|NOTCH1__endothelial,SEMA5A,NOTCH1,L6-eNeuron,endothelial,124,33,0.0010702591
DLL4__endothelial|ADAM11__L6-eNeuron,DLL4,ADAM11,endothelial,L6-eNeuron,33,124,0.0010699523
LAMB2__astrocytes|KCNJ4__L4-eNeuron,LAMB2,KCNJ4,astrocytes,L4-eNeuron,31,96,0.001069766
IGFBP4__L2-L3-eNeuron|GLG1__L5-eNeuron,IGFBP4,GLG1,L2-L3-eNeuron,L5-eNeuron,74,64,0.0010696632
IGFBP4__L2-L3-eNeuron|GABBR2__L6-eNeuron,IGFBP4,GABBR2,L2-L3-eNeuron,L6-eNeuron,74,124,0.0010694095
ICAM5__L2-L3-eNeuron|FLOT1__Adarb2-iNeuron,ICAM5,FLOT1,L2-L3-eNeuron,Adarb2-iNeuron,74,18,0.0010692879
SEMA7A__L2-L3-eNeuron|LINGO1__L5-eNeuron,SEMA7A,LINGO1,L2-L3-eNeuron,L5-eNeuron,74,64,0.0010692244
SLITRK1__L2-L3-eNeuron|CNTNAP1__L6-eNeuron,SLITRK1,CNTNAP1,L2-L3-eNeuron,L6-eNeuron,74,124,0.001068827
TNXB__mural|SLC17A7__L5-eNeuron,TNXB,SLC17A7,mural,L5-eNeuron,10,64,0.0010682978
OMG__Olig|CNTNAP1__L6-eNeuron,OMG,CNTNAP1,Olig,L6-eNeuron,15,124,0.0010680038
COL4A2__mural|ADORA1__L5-eNeuron,COL4A2,ADORA1,mural,L5-eNeuron,10,64,0.00106778
VCAN__OPC|LINGO1__L2-L3-eNeuron,VCAN,LINGO1,OPC,L2-L3-eNeuron,18,74,0.0010674255
GAS6__L6-eNeuron|CADM3__L2-L3-eNeuron,GAS6,CADM3,L6-eNeuron,L2-L3-eNeuron,124,74,0.0010660292
ICAM5__L2-L3-eNeuron|NOTCH1__endothelial,ICAM5,NOTCH1,L2-L3-eNeuron,endothelial,74,33,0.0010652614
AGRN__astrocytes|ADCY1__L5-eNeuron,AGRN,ADCY1,astrocytes,L5-eNeuron,31,64,0.0010649455
AGRN__endothelial|CNTNAP1__Lhx6-iNeuron,AGRN,CNTNAP1,endothelial,Lhx6-iNeuron,33,29,0.001064629
ESAM__endothelial|SDC3__L2-L3-eNeuron,ESAM,SDC3,endothelial,L2-L3-eNeuron,33,74,0.0010645137
PLTP__endothelial|SV2A__astrocytes,PLTP,SV2A,endothelial,astrocytes,33,31,0.0010642785
AGRN__L4-eNeuron|ITGB5__astrocytes,AGRN,ITGB5,L4-eNeuron,astrocytes,96,31,0.0010636189
SHANK1__L2-L3-eNeuron|FLOT1__astrocytes,SHANK1,FLOT1,L2-L3-eNeuron,astrocytes,74,31,0.0010631783
SEMA6B__L5-eNeuron|KCNJ4__L2-L3-eNeuron,SEMA6B,KCNJ4,L5-eNeuron,L2-L3-eNeuron,64,74,0.001062379
AGRN__astrocytes|STX1A__L5-eNeuron,AGRN,STX1A,astrocytes,L5-eNeuron,31,64,0.001062078
NID1__endothelial|SV2A__L2-L3-eNeuron,NID1,SV2A,endothelial,L2-L3-eNeuron,33,74,0.0010619714
SEMA6B__Lhx6-iNeuron|CNTNAP1__L5-eNeuron,SEMA6B,CNTNAP1,Lhx6-iNeuron,L5-eNeuron,29,64,0.0010618729
GAS6__L2-L3-eNeuron|NOTCH1__astrocytes,GAS6,NOTCH1,L2-L3-eNeuron,astrocytes,74,31,0.0010617661
NLGN2__L6-eNeuron|EPHB6__Lhx6-iNeuron,NLGN2,EPHB6,L6-eNeuron,Lhx6-iNeuron,124,29,0.0010613597
FNDC5__Lhx6-iNeuron|CADM3__L2-L3-eNeuron,FNDC5,CADM3,Lhx6-iNeuron,L2-L3-eNeuron,29,74,0.0010613521
CADM3__L2-L3-eNeuron|LINGO1__astrocytes,CADM3,LINGO1,L2-L3-eNeuron,astrocytes,74,31,0.001061114
GAS6__microglia|LINGO1__L2-L3-eNeuron,GAS6,LINGO1,microglia,L2-L3-eNeuron,11,74,0.0010604574
GLG1__L6-eNeuron|PLXNB3__OPC,GLG1,PLXNB3,L6-eNeuron,OPC,124,18,0.0010600657
ICAM5__L2-L3-eNeuron|ADORA1__L5-eNeuron,ICAM5,ADORA1,L2-L3-eNeuron,L5-eNeuron,74,64,0.0010599069
FNDC5__Lhx6-iNeuron|CAP1__L5-eNeuron,FNDC5,CAP1,Lhx6-iNeuron,L5-eNeuron,29,64,0.0010585223
ESAM__endothelial|NOTCH1__astrocytes,ESAM,NOTCH1,endothelial,astrocytes,33,31,0.0010583062
GAS6__L2-L3-eNeuron|CNTNAP1__Lhx6-iNeuron,GAS6,CNTNAP1,L2-L3-eNeuron,Lhx6-iNeuron,74,29,0.0010582355
LGI3__Olig|SLC17A7__L4-eNeuron,LGI3,SLC17A7,Olig,L4-eNeuron,15,96,0.0010581632
NLGN2__L6-eNeuron|FLOT1__astrocytes,NLGN2,FLOT1,L6-eNeuron,astrocytes,124,31,0.0010581368
ADAM15__L2-L3-eNeuron|SV2A__L5-eNeuron,ADAM15,SV2A,L2-L3-eNeuron,L5-eNeuron,74,64,0.0010581014
GDF10__astrocytes|LINGO1__L5-eNeuron,GDF10,LINGO1,astrocytes,L5-eNeuron,31,64,0.0010575888
CADM3__Adarb2-iNeuron|EPHB6__L6-eNeuron,CADM3,EPHB6,Adarb2-iNeuron,L6-eNeuron,18,124,0.0010568193
FNDC5__Lhx6-iNeuron|PLXNA4__L4-eNeuron,FNDC5,PLXNA4,Lhx6-iNeuron,L4-eNeuron,29,96,0.0010558409
GAS6__endothelial|CNTNAP1__L2-L3-eNeuron,GAS6,CNTNAP1,endothelial,L2-L3-eNeuron,33,74,0.0010553534
BAG6__L2-L3-eNeuron|ADORA1__L5-eNeuron,BAG6,ADORA1,L2-L3-eNeuron,L5-eNeuron,74,64,0.0010538014
CADM3__L6-eNeuron|LRP1__mural,CADM3,LRP1,L6-eNeuron,mural,124,10,0.0010537548
TNR__OPC|CNTNAP1__L6-eNeuron,TNR,CNTNAP1,OPC,L6-eNeuron,18,124,0.0010525181
AGRN__endothelial|DAG1__astrocytes,AGRN,DAG1,endothelial,astrocytes,33,31,0.0010519992
GRN__endothelial|S1PR1__astrocytes,GRN,S1PR1,endothelial,astrocytes,33,31,0.0010516386
OMG__Olig|SLC17A7__L5-eNeuron,OMG,SLC17A7,Olig,L5-eNeuron,15,64,0.0010514241
SEMA7A__L6-eNeuron|SV2A__L2-L3-eNeuron,SEMA7A,SV2A,L6-eNeuron,L2-L3-eNeuron,124,74,0.0010510836
SEMA6B__L6-eNeuron|CADM3__L2-L3-eNeuron,SEMA6B,CADM3,L6-eNeuron,L2-L3-eNeuron,124,74,0.001050555
LAMC1__astrocytes|FLOT1__L6-eNeuron,LAMC1,FLOT1,astrocytes,L6-eNeuron,31,124,0.0010503776
SEMA5A__L6-eNeuron|LRP4__endothelial,SEMA5A,LRP4,L6-eNeuron,endothelial,124,33,0.001050362
SEMA6B__L6-eNeuron|FLOT1__astrocytes,SEMA6B,FLOT1,L6-eNeuron,astrocytes,124,31,0.0010491087
VEGFA__astrocytes|ADCY1__L2-L3-eNeuron,VEGFA,ADCY1,astrocytes,L2-L3-eNeuron,31,74,0.0010490798
SEMA5A__L6-eNeuron|CADM3__L2-L3-eNeuron,SEMA5A,CADM3,L6-eNeuron,L2-L3-eNeuron,124,74,0.0010489024
SELPLG__microglia|ADCY1__L5-eNeuron,SELPLG,ADCY1,microglia,L5-eNeuron,11,64,0.0010481589
LAMC1__mural|CNTNAP1__L5-eNeuron,LAMC1,CNTNAP1,mural,L5-eNeuron,10,64,0.0010468278
SHANK1__L2-L3-eNeuron|SV2A__astrocytes,SHANK1,SV2A,L2-L3-eNeuron,astrocytes,74,31,0.0010468226
CADM3__L5-eNeuron|CNTNAP1__L2-L3-eNeuron,CADM3,CNTNAP1,L5-eNeuron,L2-L3-eNeuron,64,74,0.0010467998
NLGN2__L6-eNeuron|NOTCH1__endothelial,NLGN2,NOTCH1,L6-eNeuron,endothelial,124,33,0.001046766
IGFBP4__L2-L3-eNeuron|STX1A__L6-eNeuron,IGFBP4,STX1A,L2-L3-eNeuron,L6-eNeuron,74,124,0.00104672
AGRN__astrocytes|LINGO1__L2-L3-eNeuron,AGRN,LINGO1,astrocytes,L2-L3-eNeuron,31,74,0.0010457614
RPH3A__L6-eNeuron|ITGB5__mural,RPH3A,ITGB5,L6-eNeuron,mural,124,10,0.0010457608
VCAN__OPC|CNTNAP1__L6-eNeuron,VCAN,CNTNAP1,OPC,L6-eNeuron,18,124,0.0010455719
CADM3__L6-eNeuron|EPHB6__L2-L3-eNeuron,CADM3,EPHB6,L6-eNeuron,L2-L3-eNeuron,124,74,0.0010453593
GAS6__L4-eNeuron|FLT1__endothelial,GAS6,FLT1,L4-eNeuron,endothelial,96,33,0.0010452272
SEMA6B__L6-eNeuron|EPHB6__Lhx6-iNeuron,SEMA6B,EPHB6,L6-eNeuron,Lhx6-iNeuron,124,29,0.001044339
LGI4__astrocytes|GABBR2__L5-eNeuron,LGI4,GABBR2,astrocytes,L5-eNeuron,31,64,0.0010437906
SEMA5A__L6-eNeuron|SDC3__endothelial,SEMA5A,SDC3,L6-eNeuron,endothelial,124,33,0.001043622
DLL4__endothelial|FLOT1__L6-eNeuron,DLL4,FLOT1,endothelial,L6-eNeuron,33,124,0.0010432294
SEMA7A__L6-eNeuron|ENG__mural,SEMA7A,ENG,L6-eNeuron,mural,124,10,0.0010432269
LAMC1__endothelial|EPHB6__L2-L3-eNeuron,LAMC1,EPHB6,endothelial,L2-L3-eNeuron,33,74,0.0010432146
GRN__L2-L3-eNeuron|ADCY1__L5-eNeuron,GRN,ADCY1,L2-L3-eNeuron,L5-eNeuron,74,64,0.0010426033
SEMA5A__L6-eNeuron|DAG1__endothelial,SEMA5A,DAG1,L6-eNeuron,endothelial,124,33,0.0010422728
GLG1__L6-eNeuron|LRP5__astrocytes,GLG1,LRP5,L6-eNeuron,astrocytes,124,31,0.001042243
AGRN__astrocytes|EPHB6__L5-eNeuron,AGRN,EPHB6,astrocytes,L5-eNeuron,31,64,0.0010418915
FN1__astrocytes|GLG1__L5-eNeuron,FN1,GLG1,astrocytes,L5-eNeuron,31,64,0.0010418766
LAMC1__astrocytes|ADAM11__L6-eNeuron,LAMC1,ADAM11,astrocytes,L6-eNeuron,31,124,0.0010418668
SEMA7A__L4-eNeuron|S1PR1__endothelial,SEMA7A,S1PR1,L4-eNeuron,endothelial,96,33,0.0010418611
TGFB1__microglia|SLC17A7__L5-eNeuron,TGFB1,SLC17A7,microglia,L5-eNeuron,11,64,0.0010417169
