Sender,Receiver,score,Ligand,Receptor
Neuroblast,Endothelial,0.00014928345916369947,Adam15,Itgb1
OPC,Endothelial,0.0,Adam15,Itgb1
Olig,Endothelial,0.0,Adam15,Itgb1
Oligodendrocyte,Endothelial,0.0005571447483641832,Adam15,Itgb1
astrocytes,Endothelial,0.0,Adam15,Itgb1
endothelial,Endothelial,0.0,Adam15,Itgb1
microglia,Endothelial,0.0,Adam15,Itgb1
mural,Endothelial,0.0,Adam15,Itgb1
Adarb2-iNeuron,Ependymal,0.0,Adam15,Itgb1
Astrocyte,Ependymal,0.0,Adam15,Itgb1
Choroid Plexus,Ependymal,0.0,Adam15,Itgb1
Endothelial,Ependymal,0.0,Adam15,Itgb1
Ependymal,Ependymal,0.0,Adam15,Itgb1
Excitatory neuron,Ependymal,0.0,Adam15,Itgb1
Interneuron,Ependymal,0.0,Adam15,Itgb1
L2-L3-eNeuron,Ependymal,0.0,Adam15,Itgb1
L4-eNeuron,Ependymal,0.0,Adam15,Itgb1
L5-eNeuron,Ependymal,0.0,Adam15,Itgb1
L6-eNeuron,Ependymal,0.0,Adam15,Itgb1
Lhx6-iNeuron,Ependymal,0.0,Adam15,Itgb1
Microglia,Ependymal,0.0,Adam15,Itgb1
Neural Stem,Ependymal,0.0,Adam15,Itgb1
Neuroblast,Ependymal,0.0,Adam15,Itgb1
OPC,Ependymal,0.0,Adam15,Itgb1
Olig,Ependymal,0.0,Adam15,Itgb1
Oligodendrocyte,Ependymal,0.0,Adam15,Itgb1
astrocytes,Ependymal,0.0,Adam15,Itgb1
endothelial,Ependymal,0.0,Adam15,Itgb1
microglia,Ependymal,0.0,Adam15,Itgb1
mural,Ependymal,0.0,Adam15,Itgb1
Adarb2-iNeuron,Excitatory neuron,0.0,Adam15,Itgb1
Astrocyte,Excitatory neuron,2.4262233042889683e-05,Adam15,Itgb1
Choroid Plexus,Excitatory neuron,2.2226746515219287e-05,Adam15,Itgb1
Endothelial,Excitatory neuron,0.0009437067002771626,Adam15,Itgb1
Ependymal,Excitatory neuron,0.0,Adam15,Itgb1
Excitatory neuron,Excitatory neuron,0.0,Adam15,Itgb1
Interneuron,Excitatory neuron,0.0002600146960669856,Adam15,Itgb1
L2-L3-eNeuron,Excitatory neuron,0.0,Adam15,Itgb1
L4-eNeuron,Excitatory neuron,0.0,Adam15,Itgb1
L5-eNeuron,Excitatory neuron,0.0,Adam15,Itgb1
L6-eNeuron,Excitatory neuron,0.0,Adam15,Itgb1
Lhx6-iNeuron,Excitatory neuron,0.0,Adam15,Itgb1
Microglia,Excitatory neuron,0.0,Adam15,Itgb1
Neural Stem,Excitatory neuron,0.0003569963744730466,Adam15,Itgb1
Neuroblast,Excitatory neuron,4.511893175982917e-05,Adam15,Itgb1
OPC,Excitatory neuron,0.0,Adam15,Itgb1
Olig,Excitatory neuron,0.0,Adam15,Itgb1
Oligodendrocyte,Excitatory neuron,0.0,Adam15,Itgb1
astrocytes,Excitatory neuron,0.0,Adam15,Itgb1
endothelial,Excitatory neuron,0.0,Adam15,Itgb1
microglia,Excitatory neuron,0.0,Adam15,Itgb1
mural,Excitatory neuron,0.0,Adam15,Itgb1
Adarb2-iNeuron,Interneuron,0.0,Adam15,Itgb1
Astrocyte,Interneuron,0.0015635371118140069,Adam15,Itgb1
Choroid Plexus,Interneuron,0.00010613547033106751,Adam15,Itgb1
Endothelial,Interneuron,0.0002867489307602598,Adam15,Itgb1
Ependymal,Interneuron,0.0,Adam15,Itgb1
Excitatory neuron,Interneuron,0.0,Adam15,Itgb1
Interneuron,Interneuron,0.0004924456878033527,Adam15,Itgb1
L2-L3-eNeuron,Interneuron,0.0,Adam15,Itgb1
L4-eNeuron,Interneuron,0.0,Adam15,Itgb1
L5-eNeuron,Interneuron,0.0,Adam15,Itgb1
L6-eNeuron,Interneuron,0.0,Adam15,Itgb1
Lhx6-iNeuron,Interneuron,0.0,Adam15,Itgb1
Microglia,Interneuron,0.0003471096823183401,Adam15,Itgb1
Neural Stem,Interneuron,1.974940326436745e-05,Adam15,Itgb1
Neuroblast,Interneuron,6.0137396741964914e-05,Adam15,Itgb1
OPC,Interneuron,0.0,Adam15,Itgb1
Olig,Interneuron,0.0,Adam15,Itgb1
Oligodendrocyte,Interneuron,0.0,Adam15,Itgb1
astrocytes,Interneuron,0.0,Adam15,Itgb1
endothelial,Interneuron,0.0,Adam15,Itgb1
microglia,Interneuron,0.0,Adam15,Itgb1
mural,Interneuron,0.0,Adam15,Itgb1
Adarb2-iNeuron,L2-L3-eNeuron,0.00019927213212085374,Adam15,Itgb1
Astrocyte,L2-L3-eNeuron,0.0,Adam15,Itgb1
Choroid Plexus,L2-L3-eNeuron,2.400326469228392e-09,Adam15,Itgb1
Endothelial,L2-L3-eNeuron,2.9795900260417946e-08,Adam15,Itgb1
Ependymal,L2-L3-eNeuron,0.0,Adam15,Itgb1
Excitatory neuron,L2-L3-eNeuron,0.0,Adam15,Itgb1
Interneuron,L2-L3-eNeuron,4.888962156174765e-09,Adam15,Itgb1
L2-L3-eNeuron,L2-L3-eNeuron,0.0010166269050144333,Adam15,Itgb1
L4-eNeuron,L2-L3-eNeuron,6.535589597825425e-05,Adam15,Itgb1
L5-eNeuron,L2-L3-eNeuron,2.1393811452510278e-05,Adam15,Itgb1
L6-eNeuron,L2-L3-eNeuron,1.4304187550546224e-05,Adam15,Itgb1
Lhx6-iNeuron,L2-L3-eNeuron,0.00018140332704278075,Adam15,Itgb1
Microglia,L2-L3-eNeuron,0.0,Adam15,Itgb1
Neural Stem,L2-L3-eNeuron,0.0,Adam15,Itgb1
Neuroblast,L2-L3-eNeuron,0.0,Adam15,Itgb1
OPC,L2-L3-eNeuron,3.6663486521139916e-07,Adam15,Itgb1
Olig,L2-L3-eNeuron,4.2853117396398465e-07,Adam15,Itgb1
Oligodendrocyte,L2-L3-eNeuron,0.0,Adam15,Itgb1
astrocytes,L2-L3-eNeuron,3.0945248158535255e-05,Adam15,Itgb1
endothelial,L2-L3-eNeuron,3.91282402901302e-06,Adam15,Itgb1
microglia,L2-L3-eNeuron,0.00010664286273503359,Adam15,Itgb1
mural,L2-L3-eNeuron,0.0,Adam15,Itgb1
Adarb2-iNeuron,L4-eNeuron,5.329468617914991e-05,Adam15,Itgb1
Astrocyte,L4-eNeuron,0.0,Adam15,Itgb1
Choroid Plexus,L4-eNeuron,0.0,Adam15,Itgb1
Endothelial,L4-eNeuron,0.0,Adam15,Itgb1
Ependymal,L4-eNeuron,0.0,Adam15,Itgb1
Excitatory neuron,L4-eNeuron,0.0,Adam15,Itgb1
Interneuron,L4-eNeuron,0.0,Adam15,Itgb1
L2-L3-eNeuron,L4-eNeuron,4.1012668323986017e-05,Adam15,Itgb1
L4-eNeuron,L4-eNeuron,0.0007246785477063977,Adam15,Itgb1
L5-eNeuron,L4-eNeuron,9.084718000082028e-07,Adam15,Itgb1
L6-eNeuron,L4-eNeuron,0.0,Adam15,Itgb1
Lhx6-iNeuron,L4-eNeuron,3.405203651459815e-05,Adam15,Itgb1
Microglia,L4-eNeuron,0.0,Adam15,Itgb1
Neural Stem,L4-eNeuron,0.0,Adam15,Itgb1
Neuroblast,L4-eNeuron,0.0,Adam15,Itgb1
OPC,L4-eNeuron,0.00011225462227846508,Adam15,Itgb1
Olig,L4-eNeuron,0.0,Adam15,Itgb1
Oligodendrocyte,L4-eNeuron,0.0,Adam15,Itgb1
astrocytes,L4-eNeuron,0.00019908987941828603,Adam15,Itgb1
endothelial,L4-eNeuron,4.616665096555803e-05,Adam15,Itgb1
