Sender,Receiver,Ligand,Receptor,LRscore
mural,endothelial,COL4A2,SDC4,7.5104441169557e-4
Olig,L2-L3-eNeuron,COL5A3,SDC3,4.843054526374697e-7
Olig,OPC,COL5A3,SDC3,0.00249285243563002
Olig,endothelial,COL5A3,SDC3,8.8139436897493e-4
Olig,mural,COL5A3,SDC3,4.2839638345213e-4
OPC,mural,CSPG4,ITGB1,0
Olig,astrocytes,DLK2,NOTCH1,0.00461402205675333
Olig,endothelial,DLK2,NOTCH1,4.7384867175004e-4
Olig,mural,DLK2,NOTCH1,1.7945406030138e-4
endothelial,astrocytes,DLL4,NOTCH1,9.6443562854893e-4
endothelial,mural,DLL4,NOTCH1,1.7521469775969488e-6
endothelial,mural,DLL4,NOTCH3,0.00294085873093201
Olig,endothelial,EFNB3,EPHB4,0.00192832425901184
Olig,L2-L3-eNeuron,EFNB3,EPHB6,9.67931013596112e-5
Olig,L4-eNeuron,EFNB3,EPHB6,1.6042202669074e-4
Olig,L6-eNeuron,EFNB3,EPHB6,0.00409878158795097
Olig,Lhx6-iNeuron,EFNB3,EPHB6,6.3372490549892e-4
Olig,mural,EFNB3,EPHB6,2.7449034885754e-4
endothelial,mural,ESAM,ESAM,6.3061464650086e-4
mural,endothelial,ESAM,ESAM,5.4464165055258e-4
astrocytes,mural,FN1,ITGB1,1.3392874397881e-4
astrocytes,OPC,FN1,SDC4,5.6634305100266e-4
astrocytes,endothelial,FN1,SDC4,1.0553213049341e-4
astrocytes,mural,FN1,SDC4,5.5018021104854213e-5
endothelial,mural,FN1,ITGB1,9.461309082477e-4
endothelial,OPC,FN1,SDC4,3.8831897295887e-4
endothelial,astrocytes,FN1,SDC4,0.00323168680155866
endothelial,mural,FN1,SDC4,4.3397836319846e-4
mural,OPC,FN1,SDC4,6.411650990366e-4
mural,astrocytes,FN1,SDC4,9.6482425753024e-4
mural,endothelial,FN1,SDC4,2.2521345765477e-4
