ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
HLA-DRA__Macrophage,ATP6AP2__Malignant,HLA-DRA__Macrophage|ATP6AP2__Malignant,7.048195429762022,3.982409952583512,81.41509954466578,26769.04624223616,8.94088654759755,3.765344818249655,2.682816042654765
HLA-A__Malignant,FLOT1__Macrophage,HLA-A__Malignant|FLOT1__Macrophage,7.036515404959243,0,400.41340807883233,26724.685508035203,31.380681601699735,31.03118324208266,0.29472753962498033
APOE__Macrophage,CD44__Malignant,APOE__Macrophage|CD44__Malignant,7.019230152926574,3.105947150284076,71.33516861644209,26659.036120815126,9.976049818191298,6.424318242558926,1.5588424906899023
EFNA1__Malignant,CD81__Macrophage,EFNA1__Malignant|CD81__Macrophage,6.96146498895144,0,373.3431732739441,26439.64402803757,28.85633953557602,9.79413117980602,1.0129718986130358
HLA-DRA__Macrophage,ADORA2A__Malignant,HLA-DRA__Macrophage|ADORA2A__Malignant,6.95263207823162,3.336282596905863,59.597861588579946,26406.096633123692,9.012309655192366,3.765344818249655,2.602417410654269
GRN__Macrophage,IL6ST__Malignant,GRN__Macrophage|IL6ST__Malignant,6.806408242726704,2.931841919869155,86.29829209281394,25850.738505876023,10.090807510279054,1.1142246233016815,7.972520223468345
FN1__Stroma,ADORA2A__Malignant,FN1__Stroma|ADORA2A__Malignant,6.775006985084101,2.9391383442749173,78.22466020148012,25731.476529349417,9.44593254728901,3.791117473611257,2.602417410654269
MIF__Malignant,LAMP2__Stroma,MIF__Malignant|LAMP2__Stroma,6.758224592019364,0,331.6999076538762,25667.737000489546,24.770609096649117,43.70585223720301,0.23515339048855716
LYZ__Macrophage,GFRA1__Malignant,LYZ__Macrophage|GFRA1__Malignant,6.7284024421448265,3.034554301304424,74.3656005779735,25554.47247526605,9.362881703808151,2.1692082031036057,4.700373245551201
CD9__Malignant,CD63__Macrophage,CD9__Malignant|CD63__Macrophage,6.716536416983243,0,335.15207579487696,25509.405311702358,28.375567966437828,10.56470171391948,0.8955163413277767
