variant,v3_variant,hit,hit_rate,ROC_AUC,PR_AUC,P@850,R@850
A,MeanPooling,119,0.497907949790795,0.20031268321281998,0.0857848673527775,0.14,0.497907949790795
B,Full,203,0.8493723849372385,0.6267083393609003,0.33838855943975676,0.2388235294117647,0.8493723849372385
C,ShuffledPrior,199,0.8326359832635983,0.6608464750789276,0.3344983511166621,0.23411764705882354,0.8326359832635983
D,Sigma60,198,0.8284518828451883,0.6706520728759993,0.3380726016404794,0.23294117647058823,0.8284518828451883
E,RawExpr,197,0.8242677824267782,0.6199345465287117,0.276843893057683,0.23176470588235293,0.8242677824267782
