panel,row_kind,sender_ct,receiver_ct,ligand,receptor,gene_symbol,gene_cell_type,att,degree_in_top60_subgraph,degree_centrality,is_hub_labeled
A,chord_flow_top100,Bcell,Macrophage,,,,,5.0060760974884015,,,
A,chord_flow_top100,Endothelial,Macrophage,,,,,1.5707115381956096,,,
A,chord_flow_top100,Macrophage,Endothelial,,,,,0.6700853705406188,,,
A,chord_flow_top100,Malignant,Endothelial,,,,,0.24064069241285319,,,
A,chord_flow_top100,Malignant,Stroma,,,,,1.278825901448726,,,
A,chord_flow_top100,Tcell,Bcell,,,,,2.482096977531909,,,
B,dotplot_lr,Macrophage,Endothelial,KLRB1,CLEC2D,,,0.2492806017398834,,,
B,dotplot_lr,Macrophage,Endothelial,HBEGF,CD9,,,0.220011830329895,,,
B,dotplot_lr,Macrophage,Endothelial,FASLG,TNFRSF6B,,,0.2007929384708404,,,
B,dotplot_lr,Bcell,Macrophage,CTSG,F2RL2,,,0.1763108521699905,,,
B,dotplot_lr,Bcell,Macrophage,SEMA4D,CD72,,,0.1743715405464172,,,
B,dotplot_lr,Bcell,Macrophage,ANGPTL1,ITGB1,,,0.1725905239582061,,,
B,dotplot_lr,Bcell,Macrophage,SEMA3D,NRP2,,,0.1631336808204651,,,
B,dotplot_lr,Bcell,Macrophage,F13A1,ITGB1,,,0.1592868864536285,,,
B,dotplot_lr,Malignant,Endothelial,PTN,PTPRB,,,0.1474198997020721,,,
B,dotplot_lr,Bcell,Macrophage,TNN,ITGB1,,,0.144643023610115,,,
B,dotplot_lr,Bcell,Macrophage,NID1,ITGB1,,,0.1446150541305542,,,
B,dotplot_lr,Bcell,Macrophage,JAM2,ITGB1,,,0.1444493681192398,,,
B,dotplot_lr,Tcell,Bcell,WNT5A,ROR2,,,0.1440548002719879,,,
B,dotplot_lr,Bcell,Macrophage,CCL13,CCR5,,,0.1424682438373565,,,
B,dotplot_lr,Tcell,Bcell,TNFSF15,TNFRSF25,,,0.1418225914239883,,,
B,dotplot_lr,Bcell,Macrophage,SEMA7A,ITGB1,,,0.1411287188529968,,,
B,dotplot_lr,Bcell,Macrophage,IGF1,ITGA6,,,0.1355849504470825,,,
B,dotplot_lr,Tcell,Bcell,TNFSF14,LTBR,,,0.1341177523136139,,,
B,dotplot_lr,Tcell,Bcell,CD226,PVR,,,0.1338271051645279,,,
B,dotplot_lr,Bcell,Macrophage,TNN,SDC1,,,0.1335755735635757,,,
B,dotplot_lr,Endothelial,Macrophage,IL15,IL2RA,,,0.1310442388057708,,,
B,dotplot_lr,Bcell,Macrophage,SELPLG,ITGAM,,,0.1303450614213943,,,
B,dotplot_lr,Tcell,Bcell,BMP2,ENG,,,0.1287773698568344,,,
B,dotplot_lr,Bcell,Macrophage,LGALS9,HAVCR2,,,0.1256979256868362,,,
B,dotplot_lr,Bcell,Macrophage,ANGPT1,ITGB1,,,0.1249751448631286,,,
B,dotplot_lr,Bcell,Macrophage,ANGPT2,ITGB1,,,0.1235638931393623,,,
B,dotplot_lr,Bcell,Macrophage,CD14,ITGB1,,,0.1230463981628418,,,
B,dotplot_lr,Bcell,Macrophage,FCER2,ITGAM,,,0.1224824041128158,,,
B,dotplot_lr,Tcell,Bcell,FASLG,FAS,,,0.1207009926438331,,,
B,dotplot_lr,Endothelial,Macrophage,ICAM3,ITGAL,,,0.1191209405660629,,,
B,dotplot_lr,Bcell,Macrophage,FASLG,TNFRSF6B,,,0.1180441975593566,,,
B,dotplot_lr,Bcell,Macrophage,ICAM3,ITGAL,,,0.1046144589781761,,,
B,dotplot_lr,Malignant,Stroma,CD226,PVR,,,0.0963476002216339,,,
B,dotplot_lr,Malignant,Stroma,CTSG,F2RL2,,,0.0907904058694839,,,
B,dotplot_lr,Tcell,Bcell,ANGPT2,ITGB1,,,0.0906479656696319,,,
B,dotplot_lr,Bcell,Macrophage,TNFSF15,TNFRSF25,,,0.0895793288946151,,,
B,dotplot_lr,Tcell,Bcell,JAM2,ITGB1,,,0.08505779504776,,,
B,dotplot_lr,Endothelial,Macrophage,ANGPT2,ITGB1,,,0.0827634260058403,,,
B,dotplot_lr,Tcell,Bcell,FCER2,ITGAM,,,0.0815194770693779,,,
