panel,row_kind,sender_ct,receiver_ct,ligand,receptor,gene_symbol,gene_cell_type,att,degree_in_top60_subgraph,degree_centrality,is_hub_labeled
B,dotplot_lr,Malignant,Stroma,ICAM3,ITGAL,,,0.067859448492527,,,
B,dotplot_lr,Endothelial,Macrophage,JAM2,ITGB1,,,0.0569001771509647,,,
B,dotplot_lr,Tcell,Bcell,SELPLG,ITGAM,,,0.0462805554270744,,,
B,dotplot_lr,Malignant,Stroma,WNT5A,ROR2,,,0.0443728156387805,,,
B,dotplot_lr,Tcell,Bcell,SEMA7A,ITGB1,,,0.0083626275882124,,,
C,bundling_node_labeled,,,,,ITGB1,Macrophage,,10.0,0.10869565217391304,True
C,bundling_node_labeled,,,,,SDC1,Macrophage,,3.0,0.03260869565217391,True
C,bundling_node_labeled,,,,,ITGAM,Macrophage,,3.0,0.03260869565217391,True
C,bundling_node_labeled,,,,,ITGAL,Macrophage,,3.0,0.03260869565217391,True
C,bundling_node_labeled,,,,,ITGA6,Macrophage,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,TNFRSF6B,Macrophage,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,ITGA5,Macrophage,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,CCR5,Macrophage,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,LTBR,Bcell,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,ANGPT1,Bcell,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,IL15,Endothelial,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,BMP2,Tcell,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,ANGPT2,Bcell,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,TNN,Bcell,,2.0,0.021739130434782608,True
C,bundling_node_labeled,,,,,SLIT2,Bcell,,2.0,0.021739130434782608,True
