Sender,Receiver,Ligand,Receptor,LRscore
Tcell,Bcell,FASLG,FAS,0
Bcell,Macrophage,FCER2,ITGAM,7.04951400138699e-4
Tcell,Bcell,FCER2,ITGAM,0
Tcell,Bcell,FCER2,ITGB2,0
Bcell,Macrophage,FREM1,ITGB1,0
Tcell,Bcell,FREM1,ITGB1,0
Malignant,Stroma,GDF11,ACVR2A,0
Malignant,Stroma,GPC3,CD81,0.06429297206778335
Malignant,Stroma,GPI,AMFR,0
Tcell,Bcell,GZMB,IGF2R,0
Endothelial,Macrophage,HBEGF,CD44,0.00439270674099066
Endothelial,Stroma,HBEGF,CD82,8.781012358308393e-4
Endothelial,Macrophage,HBEGF,ERBB2,0.005395439658528359
Macrophage,Endothelial,HBEGF,CD9,0
Tcell,Bcell,HBEGF,CD44,0
Bcell,Macrophage,HGF,SDC1,0
Bcell,Macrophage,HGF,SDC2,0
Tcell,Bcell,HGF,CD44,0
Tcell,Bcell,HGF,SDC1,0
Tcell,Bcell,HGF,SDC2,0
Malignant,Stroma,HLA-A,APLP2,0
Tcell,Bcell,HLA-DOB,CD4,0
Malignant,Stroma,HMGB1,SDC1,0
Bcell,Macrophage,HP,CD163,0
Bcell,Macrophage,HP,ITGAM,0
Endothelial,Macrophage,HSPG2,ITGB1,0.06723847161340246
Endothelial,Macrophage,HSPG2,SDC1,0.06621973776059617
Endothelial,Macrophage,ICAM1,IL2RA,4.019432933194661e-4
Endothelial,Macrophage,ICAM1,ITGAL,0.005135175637936614
Endothelial,Macrophage,ICAM1,ITGB2,0.015716223493324976
Bcell,Macrophage,ICAM2,ITGAL,0.0025083405897692182
Bcell,Macrophage,ICAM2,ITGAM,0.001260696069028677
Endothelial,Macrophage,ICAM2,ITGAL,0.004116969979028613
Endothelial,Macrophage,ICAM2,ITGB2,0.012672570080055246
Tcell,Bcell,ICAM2,ITGAL,0
Tcell,Bcell,ICAM2,ITGAM,0
Tcell,Bcell,ICAM2,ITGB2,0
Bcell,Macrophage,ICAM3,ITGAL,0.007233916507421104
Endothelial,Macrophage,ICAM3,ITGAL,0.0039049637204709056
Endothelial,Macrophage,ICAM3,ITGB2,0.012034418867792648
Malignant,Stroma,ICAM3,ITGAL,0
Malignant,Stroma,ICAM3,ITGB2,0.018744511307186594
Bcell,Macrophage,IGF1,ITGA6,0
Endothelial,Macrophage,IL15,IL2RA,1.209774813855475e-4
