variant,v3_variant,hit,hit_rate,ROC_AUC,PR_AUC,P@700,R@700
A,MeanPooling,10,0.04672897196261682,0.28695652173913044,0.010220392651492407,0.014285714285714285,0.04672897196261682
B,Full,199,0.9299065420560748,0.8146220122568932,0.5652852346557422,0.2842857142857143,0.9299065420560748
C,ShuffledPrior,199,0.9299065420560748,0.8367536284215489,0.5750522494921835,0.2842857142857143,0.9299065420560748
D,Sigma60,190,0.8878504672897196,0.7981940144478844,0.4940812670860705,0.2714285714285714,0.8878504672897196
E,RawExpr,196,0.9158878504672897,0.8265306122448979,0.5640017135390503,0.28,0.9158878504672897
