Sender,Receiver,Ligand,Receptor,LRscore,all
Malignant,Stroma,CDH1,ERBB3,13.90575769690199,Malignant_CDH1_Stroma_ERBB3
Macrophage,Malignant,GRN,PRLR,14.5380213047856,Macrophage_GRN_Malignant_PRLR
Macrophage,Malignant,PSAP,AMFR,19.22280504257957,Macrophage_PSAP_Malignant_AMFR
Macrophage,Malignant,ITGB2,CD47,7.529970922511085,Macrophage_ITGB2_Malignant_CD47
Macrophage,Malignant,LYZ,CD47,12.571904581864016,Macrophage_LYZ_Malignant_CD47
Malignant,Macrophage,TNFSF10,ITGB2,11.960350484887357,Malignant_TNFSF10_Macrophage_ITGB2
Bcell,Macrophage,VCAM1,ITGB1,3.644626457887333,Bcell_VCAM1_Macrophage_ITGB1
Endothelial,Macrophage,VCAM1,ITGB1,3.6481176406622,Endothelial_VCAM1_Macrophage_ITGB1
Tcell,Bcell,VCAM1,ITGB1,7.922612136029393,Tcell_VCAM1_Bcell_ITGB1
Malignant,Bcell,CD44,CD74,24.116286779092555,Malignant_CD44_Bcell_CD74
Malignant,Macrophage,CD44,CD74,19.275120782927534,Malignant_CD44_Macrophage_CD74
Malignant,Stroma,CD44,CD74,18.49673276916,Malignant_CD44_Stroma_CD74
Malignant,Stroma,EFNA1,CAP1,13.530483336961508,Malignant_EFNA1_Stroma_CAP1
Malignant,Macrophage,CD47,CD9,12.10615328874926,Malignant_CD47_Macrophage_CD9
Malignant,Stroma,COL9A2,ITGB1,9.942935287625753,Malignant_COL9A2_Stroma_ITGB1
Macrophage,Malignant,GRN,IL13RA1,11.016354948957405,Macrophage_GRN_Malignant_IL13RA1
Macrophage,Malignant,PSAP,IL13RA1,13.516630056569257,Macrophage_PSAP_Malignant_IL13RA1
Endothelial,Macrophage,COL4A2,SDC4,12.007961394476872,Endothelial_COL4A2_Macrophage_SDC4
Macrophage,Malignant,GRN,AMFR,15.544016185142796,Macrophage_GRN_Malignant_AMFR
Macrophage,Malignant,VIM,SDC1,16.086688232610964,Macrophage_VIM_Malignant_SDC1
Macrophage,Malignant,APOE,SDC1,22.21624578692792,Macrophage_APOE_Malignant_SDC1
Malignant,Stroma,COPA,IL6ST,14.437536392366221,Malignant_COPA_Stroma_IL6ST
Macrophage,Malignant,C1QB,SDC1,15.401914618703968,Macrophage_C1QB_Malignant_SDC1
Malignant,Macrophage,HLA-C,TYROBP,19.729997497005222,Malignant_HLA-C_Macrophage_TYROBP
Malignant,Stroma,COL9A2,SDC1,10.539389106191182,Malignant_COL9A2_Stroma_SDC1
Macrophage,Malignant,HLA-DMA,ADORA2A,9.488568325748515,Macrophage_HLA-DMA_Malignant_ADORA2A
Macrophage,Malignant,APOE,FPR3,8.094349682194492,Macrophage_APOE_Malignant_FPR3
Malignant,Stroma,CD47,IL6ST,11.250232386017705,Malignant_CD47_Stroma_IL6ST
Malignant,Stroma,COL9A2,SDC4,11.612119597283359,Malignant_COL9A2_Stroma_SDC4
Macrophage,Malignant,GRN,CD9,21.696835978149245,Macrophage_GRN_Malignant_CD9
Malignant,Stroma,MDK,SDC1,14.805627859863836,Malignant_MDK_Stroma_SDC1
Malignant,Macrophage,B2M,TYROBP,23.87622314458718,Malignant_B2M_Macrophage_TYROBP
Malignant,Stroma,JAM3,IL6ST,4.308252270300854,Malignant_JAM3_Stroma_IL6ST
Malignant,Macrophage,CD47,ITGB2,7.568463134207811,Malignant_CD47_Macrophage_ITGB2
Malignant,Macrophage,COPA,CD9,15.144803927675998,Malignant_COPA_Macrophage_CD9
