pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
IL16__Tcell|IL6ST__Malignant,IL16,IL6ST,Tcell,Malignant,9,2624,0.0060644588
HLA-C__Malignant|ITGAM__Bcell,HLA-C,ITGAM,Malignant,Bcell,2624,20,0.006063674
THBS3__Malignant|PLXNA3__Stroma,THBS3,PLXNA3,Malignant,Stroma,2624,768,0.0060623004
IL16__Tcell|CD74__Macrophage,IL16,CD74,Tcell,Macrophage,9,315,0.006061443
MMP7__Malignant|ITGA1__Stroma,MMP7,ITGA1,Malignant,Stroma,2624,768,0.00606007
SFRP1__Malignant|CD81__Stroma,SFRP1,CD81,Malignant,Stroma,2624,768,0.00605868
TNFSF10__Malignant|CDH1__Endothelial,TNFSF10,CDH1,Malignant,Endothelial,2624,62,0.0060515637
VWF__Endothelial|CD163__Malignant,VWF,CD163,Endothelial,Malignant,62,2624,0.006047023
GNAS__Malignant|LTBR__Bcell,GNAS,LTBR,Malignant,Bcell,2624,20,0.0060419645
NPNT__Malignant|NRP1__Macrophage,NPNT,NRP1,Malignant,Macrophage,2624,315,0.0060395454
CFH__Tcell|CD74__Malignant,CFH,CD74,Tcell,Malignant,9,2624,0.006039175
B2M__Malignant|SDC4__Bcell,B2M,SDC4,Malignant,Bcell,2624,20,0.0060350364
CALM1__Malignant|PTPRB__Endothelial,CALM1,PTPRB,Malignant,Endothelial,2624,62,0.00603056
SNCA__Endothelial|CD74__Malignant,SNCA,CD74,Endothelial,Malignant,62,2624,0.0060242303
PSEN1__Malignant|F2RL2__Stroma,PSEN1,F2RL2,Malignant,Stroma,2624,768,0.0060212202
WNT7B__Malignant|ITGB5__Stroma,WNT7B,ITGB5,Malignant,Stroma,2624,768,0.0060159033
CD14__Bcell|CD151__Malignant,CD14,CD151,Bcell,Malignant,20,2624,0.0060158498
EFNB1__Endothelial|BAMBI__Malignant,EFNB1,BAMBI,Endothelial,Malignant,62,2624,0.006014791
F11R__Malignant|ROR2__Stroma,F11R,ROR2,Malignant,Stroma,2624,768,0.0060134665
LAMB2__Malignant|ITGA6__Macrophage,LAMB2,ITGA6,Malignant,Macrophage,2624,315,0.0060119564
HSPA1A__Malignant|LTBR__Bcell,HSPA1A,LTBR,Malignant,Bcell,2624,20,0.006009527
COL4A2__Endothelial|TYROBP__Macrophage,COL4A2,TYROBP,Endothelial,Macrophage,62,315,0.006008889
ECM1__Malignant|ERBB3__Stroma,ECM1,ERBB3,Malignant,Stroma,2624,768,0.0060087214
PTPRK__Malignant|GLG1__Stroma,PTPRK,GLG1,Malignant,Stroma,2624,768,0.0060081575
TGM2__Malignant|NRP2__Stroma,TGM2,NRP2,Malignant,Stroma,2624,768,0.006007835
CCL5__Malignant|F2RL2__Stroma,CCL5,F2RL2,Malignant,Stroma,2624,768,0.0060071168
B2M__Malignant|CADM1__Bcell,B2M,CADM1,Malignant,Bcell,2624,20,0.0060067573
F11R__Malignant|CCR5__Macrophage,F11R,CCR5,Malignant,Macrophage,2624,315,0.006004429
LYZ__Macrophage|PTPRK__Stroma,LYZ,PTPRK,Macrophage,Stroma,315,768,0.005995001
ALCAM__Malignant|ACVR2A__Stroma,ALCAM,ACVR2A,Malignant,Stroma,2624,768,0.0059930254
SEMA4D__Bcell|GFRA1__Malignant,SEMA4D,GFRA1,Bcell,Malignant,20,2624,0.0059894505
CXCL10__Macrophage|LAMP2__Stroma,CXCL10,LAMP2,Macrophage,Stroma,315,768,0.0059849354
FN1__Stroma|F2RL2__Macrophage,FN1,F2RL2,Stroma,Macrophage,768,315,0.0059785466
TIMP3__Stroma|ITGAV__Macrophage,TIMP3,ITGAV,Stroma,Macrophage,768,315,0.0059782024
VWF__Endothelial|NOTCH3__Stroma,VWF,NOTCH3,Endothelial,Stroma,62,768,0.0059778662
NPNT__Malignant|F2RL2__Stroma,NPNT,F2RL2,Malignant,Stroma,2624,768,0.0059772166
SEMA3C__Malignant|PLXNA1__Macrophage,SEMA3C,PLXNA1,Malignant,Macrophage,2624,315,0.0059745
YBX1__Malignant|NOTCH1__Stroma,YBX1,NOTCH1,Malignant,Stroma,2624,768,0.005973139
SPN__Malignant|SDC4__Stroma,SPN,SDC4,Malignant,Stroma,2624,768,0.00597192
ADAM12__Tcell|CD74__Malignant,ADAM12,CD74,Tcell,Malignant,9,2624,0.0059707547
DAG1__Malignant|LAG3__Macrophage,DAG1,LAG3,Malignant,Macrophage,2624,315,0.005970043
CALM1__Malignant|SDC1__Bcell,CALM1,SDC1,Malignant,Bcell,2624,20,0.0059688957
LAMB2__Malignant|TNFRSF6B__Endothelial,LAMB2,TNFRSF6B,Malignant,Endothelial,2624,62,0.0059658345
CGA__Malignant|ITGAL__Stroma,CGA,ITGAL,Malignant,Stroma,2624,768,0.00596294
F11R__Malignant|S1PR2__Stroma,F11R,S1PR2,Malignant,Stroma,2624,768,0.0059589627
PSEN1__Malignant|TNFRSF6B__Stroma,PSEN1,TNFRSF6B,Malignant,Stroma,2624,768,0.0059556398
CD226__Malignant|CD81__Stroma,CD226,CD81,Malignant,Stroma,2624,768,0.0059502604
ADAM15__Malignant|TNFRSF6B__Endothelial,ADAM15,TNFRSF6B,Malignant,Endothelial,2624,62,0.0059487475
HLA-DRB1__Malignant|ITGB1__Bcell,HLA-DRB1,ITGB1,Malignant,Bcell,2624,20,0.0059453514
THBS3__Malignant|ITGA11__Stroma,THBS3,ITGA11,Malignant,Stroma,2624,768,0.0059422273
PODXL2__Malignant|FZD2__Stroma,PODXL2,FZD2,Malignant,Stroma,2624,768,0.00594146
CCL19__Bcell|CD81__Macrophage,CCL19,CD81,Bcell,Macrophage,20,315,0.0059408075
MDK__Malignant|F2RL2__Macrophage,MDK,F2RL2,Malignant,Macrophage,2624,315,0.0059384024
ECM1__Malignant|CAV1__Stroma,ECM1,CAV1,Malignant,Stroma,2624,768,0.0059382576
TFF3__Malignant|TRAF3__Bcell,TFF3,TRAF3,Malignant,Bcell,2624,20,0.005924037
SORBS1__Malignant|SDC1__Stroma,SORBS1,SDC1,Malignant,Stroma,2624,768,0.005922954
CCL5__Malignant|TNFRSF6B__Stroma,CCL5,TNFRSF6B,Malignant,Stroma,2624,768,0.005917549
