"Barcode","x","y","Cluster"
"cell_121",1811.07,-1634,"L2-L3-eNeuron"
"cell_122",3248.83,-681.3,"L4-eNeuron"
"cell_123",3142.78,-773.77,"L4-eNeuron"
"cell_124",3121.48,-861.26,"OPC"
"cell_125",3076.52,-682.46,"L4-eNeuron"
"cell_126",3023.19,-495.56,"endothelial"
"cell_127",3013.1,-594.86,"L4-eNeuron"
"cell_128",2990.89,-837.63,"L4-eNeuron"
"cell_129",2904.34,-667.59,"L4-eNeuron"
"cell_130",2865.11,-575.64,"L4-eNeuron"
"cell_131",2863.69,-830.55,"L4-eNeuron"
"cell_132",2773.15,-822.66,"L4-eNeuron"
"cell_133",2719.27,-926.19,"L4-eNeuron"
"cell_134",3561.82,-1601.6,"L4-eNeuron"
"cell_135",3523.37,-1354.5,"L5-eNeuron"
"cell_136",3495.02,-1800.3,"L4-eNeuron"
"cell_137",3492.02,-1675.2,"astrocytes"
"cell_138",3423.84,-1597.6,"L5-eNeuron"
"cell_139",3420.45,-911.59,"L4-eNeuron"
"cell_140",3388.07,-1512.5,"L4-eNeuron"
"cell_141",3289.95,-1083.2,"L4-eNeuron"
"cell_142",3286.12,-1606.3,"L4-eNeuron"
"cell_143",3229.47,-1456.6,"L4-eNeuron"
"cell_144",3163.33,-1464.7,"L4-eNeuron"
"cell_145",3140.89,-1080.9,"L4-eNeuron"
"cell_146",3155.23,-1255.1,"OPC"
"cell_147",3144.8,-1814.4,"L4-eNeuron"
"cell_148",3126.12,-1320.5,"L4-eNeuron"
"cell_149",3099.55,-376.66,"L4-eNeuron"
"cell_150",3054.52,-301.91,"L4-eNeuron"
"cell_151",3054.32,-1376.3,"Lhx6-iNeuron"
"cell_152",3039.23,-1224.7,"L4-eNeuron"
"cell_153",3011.5,-407.08,"L4-eNeuron"
"cell_154",2997.63,-1439.6,"L4-eNeuron"
"cell_155",2906.28,-1660.6,"endothelial"
"cell_156",2897.63,-1213.6,"mural"
"cell_157",2869.05,-1581.2,"L4-eNeuron"
"cell_158",2865.05,-1496.8,"L4-eNeuron"
"cell_159",2853.74,-375.37,"L4-eNeuron"
"cell_160",2856.53,-451.05,"astrocytes"
"cell_161",2847.87,-508.2,"L4-eNeuron"
"cell_162",2836.59,-1402.5,"L4-eNeuron"
"cell_163",2807.27,-1159.9,"L4-eNeuron"
"cell_164",2746.73,-1495.1,"L4-eNeuron"
"cell_165",2729.73,-366.94,"L4-eNeuron"
"cell_166",2729.87,-1388.5,"L4-eNeuron"
"cell_167",2722.57,-513.53,"L4-eNeuron"
"cell_168",2710.83,-1039.8,"endothelial"
"cell_169",2700.37,-289.92,"L4-eNeuron"
"cell_170",2686.47,-1555.4,"L4-eNeuron"
"cell_171",2657.27,-397.93,"astrocytes"
"cell_172",2639.67,-1816.8,"L4-eNeuron"
"cell_173",2637.67,-1311.8,"L4-eNeuron"
"cell_174",2633.27,-1223.2,"L4-eNeuron"
"cell_175",2621.07,-1954.9,"L4-eNeuron"
"cell_176",2624.17,-1410.2,"L4-eNeuron"
"cell_177",2615.77,-1675.7,"Adarb2-iNeuron"
"cell_178",2607.77,-1002.1,"endothelial"
"cell_179",2599.27,-1103.8,"L4-eNeuron"
"cell_180",2590.07,-247.23,"L4-eNeuron"
"cell_181",2583.17,-1534.7,"L4-eNeuron"
"cell_182",2569.37,-493.17,"L4-eNeuron"
"cell_183",2563.67,-176.2,"L4-eNeuron"
"cell_184",2543.37,-1197.8,"L4-eNeuron"
"cell_185",2528.47,-1370.7,"L4-eNeuron"
"cell_186",2530.87,-324.83,"L4-eNeuron"
"cell_187",2529.57,-1443.6,"L4-eNeuron"
"cell_188",2503.17,-427.71,"L4-eNeuron"
"cell_189",2501.77,-1535.1,"L4-eNeuron"
"cell_190",2463.47,-900.27,"L4-eNeuron"
"cell_191",2445.37,-224.88,"L4-eNeuron"
"cell_192",2421.67,-1461.1,"L4-eNeuron"
"cell_193",2414.97,-1021.7,"astrocytes"
"cell_194",2408.07,-1117.7,"L4-eNeuron"
"cell_195",2413.27,-440.01,"L2-L3-eNeuron"
"cell_196",2407.37,-1737.6,"L4-eNeuron"
"cell_197",2385.87,-945.65,"L4-eNeuron"
"cell_198",2364.97,-368.95,"endothelial"
"cell_199",2376.57,-561.77,"Adarb2-iNeuron"
"cell_200",2323.37,-1802.9,"L4-eNeuron"
"cell_201",2332.07,-1326.7,"L4-eNeuron"
"cell_202",2309.97,-1687.2,"astrocytes"
"cell_203",2296.57,-514.6,"L4-eNeuron"
"cell_204",2285.47,-1241.1,"Lhx6-iNeuron"
"cell_205",2279.77,-861.75,"L4-eNeuron"
"cell_206",2251.07,-590.72,"endothelial"
"cell_207",2252.07,-743.94,"L4-eNeuron"
"cell_208",2247.57,-1463.2,"L4-eNeuron"
"cell_209",2240.87,-1109,"L4-eNeuron"
"cell_210",2226.67,-464.69,"L4-eNeuron"
"cell_211",2203.27,-918.22,"L4-eNeuron"
"cell_212",2197.37,-1748.9,"L4-eNeuron"
"cell_213",2162.97,-1205.4,"endothelial"
"cell_214",2153.47,-743.17,"L2-L3-eNeuron"
"cell_215",2126.17,-1087.2,"L2-L3-eNeuron"
"cell_216",2099.27,-856.63,"L4-eNeuron"
"cell_217",2104.27,-531.71,"L4-eNeuron"
"cell_218",2086.87,-1751.5,"L4-eNeuron"
"cell_219",2082.07,-653.89,"L4-eNeuron"
"cell_220",2083.87,-1625.7,"Adarb2-iNeuron"
"cell_221",2067.77,-751.4,"endothelial"
"cell_222",2052.37,-1164.1,"L4-eNeuron"
"cell_223",2034.97,-1536.8,"L4-eNeuron"
"cell_224",1986.67,-1020.7,"L4-eNeuron"
"cell_225",1965.17,-918.24,"L4-eNeuron"
"cell_226",1876.87,-1046.5,"L4-eNeuron"
"cell_227",5195.67,-1033.1,"endothelial"
"cell_228",5159.8,-794.27,"L5-eNeuron"
"cell_229",5119.29,-892.49,"L5-eNeuron"
"cell_230",4970.61,-1037.7,"L5-eNeuron"
"cell_231",4997.85,-1174.9,"L5-eNeuron"
"cell_232",4899.09,-864.35,"L5-eNeuron"
"cell_233",4879.9,-1112.1,"L6-eNeuron"
"cell_234",4851.6,-1240.8,"L5-eNeuron"
"cell_235",4823.56,-1365.4,"L5-eNeuron"
"cell_236",4804.11,-713.46,"L5-eNeuron"
"cell_237",4721.72,-1351.7,"L4-eNeuron"
"cell_238",4682.87,-874.24,"L6-eNeuron"
"cell_239",4669.97,-1231.8,"L6-eNeuron"
"cell_240",4637.17,-1699.3,"mural"
"cell_241",4607.14,-1336,"L4-eNeuron"
"cell_242",4547.35,-568.71,"L5-eNeuron"
"cell_243",4537.9,-1744.9,"L5-eNeuron"
"cell_244",4510.15,-1145.7,"L5-eNeuron"
"cell_245",4483.3,-1047.9,"astrocytes"
"cell_246",4442.22,-493.04,"Lhx6-iNeuron"
"cell_247",4436.92,-999.3,"L6-eNeuron"
"cell_248",4418.12,-1623.1,"L6-eNeuron"
"cell_249",4406.42,-1437.8,"L6-eNeuron"
"cell_250",4392.42,-752.18,"L5-eNeuron"
"cell_251",4317.02,-490.18,"L5-eNeuron"
"cell_252",4240.52,-1073.6,"L5-eNeuron"
"cell_253",4243.82,-1585.5,"endothelial"
"cell_254",4222.32,-761.15,"L4-eNeuron"
"cell_255",4172.12,-529.72,"L6-eNeuron"
"cell_256",4192.32,-872.18,"L5-eNeuron"
"cell_257",4158.92,-800.37,"astrocytes"
"cell_258",4094.92,-1122.9,"L5-eNeuron"
"cell_259",4082.02,-1281.7,"L5-eNeuron"
"cell_260",4032.92,-1487.7,"L5-eNeuron"
"cell_261",3993.32,-1168.7,"Lhx6-iNeuron"
"cell_262",3968.02,-1620.9,"L5-eNeuron"
"cell_263",3946.22,-998.12,"L5-eNeuron"
"cell_264",3877.72,-906.57,"endothelial"
"cell_265",3829.02,-1769.8,"Lhx6-iNeuron"
"cell_266",3810.52,-974.49,"endothelial"
"cell_267",3812.72,-1879.2,"Lhx6-iNeuron"
"cell_268",3740.62,-1473.7,"Lhx6-iNeuron"
"cell_269",3661.02,-873.9,"Lhx6-iNeuron"
"cell_270",3673.02,-1327.8,"L5-eNeuron"
"cell_271",5210.52,-1507.3,"Olig"
"cell_272",5074.16,-1522.7,"L5-eNeuron"
"cell_273",5049.17,-1655.5,"L6-eNeuron"
"cell_274",5024.13,-1415.4,"L5-eNeuron"
"cell_275",4952.79,-1309.2,"Lhx6-iNeuron"
"cell_276",4929.39,-1484.8,"L6-eNeuron"
"cell_277",4888.54,-1668.2,"L6-eNeuron"
"cell_278",4759.77,-1474.1,"L5-eNeuron"
"cell_279",4016.92,-876.46,"Lhx6-iNeuron"
"cell_280",3962.02,-1734.5,"L5-eNeuron"
"cell_281",3828.12,-1652.8,"L5-eNeuron"
"cell_282",3823.62,-1371.3,"mural"
"cell_283",5297.77,-707.72,"astrocytes"
"cell_284",5288.5,-520.95,"L5-eNeuron"
"cell_285",5266.38,-623.17,"L5-eNeuron"
"cell_286",5149.68,-1818.8,"L5-eNeuron"
"cell_287",5134.28,-551.91,"L6-eNeuron"
"cell_288",5101.7,-633.05,"astrocytes"
"cell_289",5019.92,-1820.3,"L6-eNeuron"
"cell_290",5016.97,-703.15,"endothelial"
