combo
LAMC1__Unknown_6.3_L6|SV2A__eNeuron
LAMC1__astrocytes_L2|SV2A__L3-eNeuron
LAMC1__astrocytes_L4|SV2A__eNeuron
LAMC1__astrocytes_L6|SV2A__eNeuron
LAMC1__endothelial_L2|SV2A__L3-eNeuron
LAMC1__endothelial_L4|SV2A__eNeuron
LAMC1__endothelial_L6|SV2A__eNeuron
LAMC1__mural_L2|SV2A__L3-eNeuron
LAMC1__mural_L4|SV2A__eNeuron
LAMC1__mural_L6|SV2A__eNeuron
LGI2__Adarb2|ADAM11__iNeuron_L2-L3-eNeuron
LGI2__Adarb2|ADAM11__iNeuron_L4-eNeuron
LGI2__Adarb2|ADAM11__iNeuron_L6-eNeuron
LGI3__Olig_L4|FLOT1__eNeuron
LGI3__Olig_L6|FLOT1__eNeuron
LGI3__Olig_L6|STX1A__eNeuron
LGI4__astrocytes_L2|ADAM11__L3-eNeuron
LGI4__astrocytes_L4|ADAM11__eNeuron
LGI4__astrocytes_L6|ADAM11__eNeuron
NFASC__OPC_L2|CNTNAP1__L3-eNeuron
NFASC__OPC_L4|CNTNAP1__eNeuron
NFASC__OPC_L6|CNTNAP1__eNeuron
NFASC__Olig_L2|CNTNAP1__L3-eNeuron
NFASC__Olig_L4|CNTNAP1__eNeuron
NFASC__Olig_L6|CNTNAP1__eNeuron
OMG__Olig_L2|LINGO1__L3-eNeuron
OMG__Olig_L2|RTN4R__L3-eNeuron
OMG__Olig_L4|LINGO1__eNeuron
OMG__Olig_L4|RTN4R__eNeuron
OMG__Olig_L6|LINGO1__eNeuron
OMG__microglia_L2|LINGO1__L3-eNeuron
OMG__microglia_L2|RTN4R__L3-eNeuron
OMG__microglia_L4|LINGO1__eNeuron
OMG__microglia_L4|RTN4R__eNeuron
OMG__microglia_L6|LINGO1__eNeuron
PDGFB__endothelial_Adarb2|LRP1__iNeuron
PDGFB__endothelial_L2|LRP1__L3-eNeuron
PDGFB__endothelial_L4|LRP1__eNeuron
PDGFB__endothelial_L6|LRP1__eNeuron
PDGFB__microglia_Adarb2|LRP1__iNeuron
PDGFB__microglia_L2|LRP1__L3-eNeuron
PDGFB__microglia_L4|LRP1__eNeuron
PDGFB__microglia_L6|LRP1__eNeuron
PDGFB__mural_Adarb2|LRP1__iNeuron
PDGFB__mural_L2|LRP1__L3-eNeuron
PDGFB__mural_L4|LRP1__eNeuron
PDGFB__mural_L6|LRP1__eNeuron
RGMB__Adarb2|BMPR1B__iNeuron_Unknown_6.3
RGMB__L4|BMPR1B__eNeuron_Unknown_6.3
RGMB__L5|BMPR1B__eNeuron_Unknown_6.3
RGMB__Lhx6|BMPR1B__iNeuron_Unknown_6.3
SEMA4D__Lhx6|PLXNB3__iNeuron_OPC
SEMA4D__Lhx6|PLXNB3__iNeuron_Olig
SEMA5A__L6|PLXNB3__eNeuron_OPC
SEMA5A__L6|PLXNB3__eNeuron_Olig
SEMA6B__L5|PLXNA4__eNeuron_L4-eNeuron
SEMA6B__L6|PLXNA4__eNeuron_L4-eNeuron
SEMA6B__Lhx6|PLXNA4__iNeuron_L4-eNeuron
SEMA6B__OPC_L4|PLXNA4__eNeuron
SEMA6B__Unknown_5.3_L4|PLXNA4__eNeuron
SEMA7A__L2|ITGB1__L3-eNeuron_Unknown_6.3
SEMA7A__L4|ITGB1__eNeuron_Unknown_6.3
SEMA7A__L5|ITGB1__eNeuron_Unknown_6.3
SEMA7A__L6|ITGB1__eNeuron_Unknown_6.3
TGFA__Olig_Adarb2|ERBB4__iNeuron
TGFA__Olig_Lhx6|ERBB4__iNeuron
TGFB1__Unknown_6.3_L4|ACVR1B__eNeuron
TGFB1__microglia_L4|ACVR1B__eNeuron
THBS1__Unknown_5.3_Adarb2|LRP1__iNeuron
THBS1__Unknown_5.3_L2|LRP1__L3-eNeuron
THBS1__Unknown_5.3_L2|PTPRJ__L3-eNeuron
THBS1__Unknown_5.3_L4|LRP1__eNeuron
THBS1__Unknown_5.3_L6|LRP1__eNeuron
THBS1__Unknown_5.3_Lhx6|PTPRJ__iNeuron
BAG6__L2-L3-eNeuron|ADCY1__L5-eNeuron
BAG6__L2-L3-eNeuron|ADCY1__L6-eNeuron
BAG6__L2-L3-eNeuron|ADORA1__L5-eNeuron
BAG6__L2-L3-eNeuron|CADM3__L5-eNeuron
BAG6__L2-L3-eNeuron|CAP1__L5-eNeuron
BAG6__L2-L3-eNeuron|CNTNAP1__L5-eNeuron
BAG6__L2-L3-eNeuron|CNTNAP1__L6-eNeuron
BAG6__L2-L3-eNeuron|EPHB6__L5-eNeuron
BAG6__L2-L3-eNeuron|EPHB6__L6-eNeuron
BAG6__L2-L3-eNeuron|FLOT1__L5-eNeuron
BAG6__L2-L3-eNeuron|GABBR2__L5-eNeuron
BAG6__L2-L3-eNeuron|GABBR2__L6-eNeuron
BAG6__L2-L3-eNeuron|GLG1__L5-eNeuron
BAG6__L2-L3-eNeuron|HRH3__L5-eNeuron
BAG6__L2-L3-eNeuron|KCNJ4__L4-eNeuron
BAG6__L2-L3-eNeuron|KCNJ4__L5-eNeuron
BAG6__L2-L3-eNeuron|LINGO1__L4-eNeuron
BAG6__L2-L3-eNeuron|LINGO1__L5-eNeuron
BAG6__L2-L3-eNeuron|LINGO1__L6-eNeuron
BAG6__L2-L3-eNeuron|NLGN2__L5-eNeuron
BAG6__L2-L3-eNeuron|RTN4R__L4-eNeuron
BAG6__L2-L3-eNeuron|RTN4R__L5-eNeuron
BAG6__L2-L3-eNeuron|SLC17A7__L4-eNeuron
BAG6__L2-L3-eNeuron|SLC17A7__L5-eNeuron
BAG6__L2-L3-eNeuron|SLC17A7__L6-eNeuron
BAG6__L2-L3-eNeuron|STX1A__L5-eNeuron
BAG6__L2-L3-eNeuron|STX1A__L6-eNeuron
BAG6__L2-L3-eNeuron|SV2A__L5-eNeuron
BAG6__L2-L3-eNeuron|SV2A__L6-eNeuron
CADM3__L2-L3-eNeuron|ADCY1__L5-eNeuron
CADM3__L2-L3-eNeuron|ADCY1__L6-eNeuron
CADM3__L2-L3-eNeuron|ADORA1__L5-eNeuron
CADM3__L2-L3-eNeuron|CADM3__L5-eNeuron
CADM3__L2-L3-eNeuron|CAP1__L5-eNeuron
CADM3__L2-L3-eNeuron|CNTNAP1__L5-eNeuron
CADM3__L2-L3-eNeuron|CNTNAP1__L6-eNeuron
CADM3__L2-L3-eNeuron|EPHB6__L5-eNeuron
CADM3__L2-L3-eNeuron|EPHB6__L6-eNeuron
CADM3__L2-L3-eNeuron|FLOT1__L5-eNeuron
CADM3__L2-L3-eNeuron|GABBR2__L5-eNeuron
CADM3__L2-L3-eNeuron|GABBR2__L6-eNeuron
CADM3__L2-L3-eNeuron|GLG1__L5-eNeuron
CADM3__L2-L3-eNeuron|HRH3__L5-eNeuron
CADM3__L2-L3-eNeuron|KCNJ4__L4-eNeuron
CADM3__L2-L3-eNeuron|KCNJ4__L5-eNeuron
CADM3__L2-L3-eNeuron|LINGO1__L4-eNeuron
CADM3__L2-L3-eNeuron|LINGO1__L5-eNeuron
CADM3__L2-L3-eNeuron|LINGO1__L6-eNeuron
CADM3__L2-L3-eNeuron|NLGN2__L5-eNeuron
CADM3__L2-L3-eNeuron|RTN4R__L4-eNeuron
CADM3__L2-L3-eNeuron|RTN4R__L5-eNeuron
CADM3__L2-L3-eNeuron|SLC17A7__L4-eNeuron
CADM3__L2-L3-eNeuron|SLC17A7__L5-eNeuron
CADM3__L2-L3-eNeuron|SLC17A7__L6-eNeuron
CADM3__L2-L3-eNeuron|STX1A__L5-eNeuron
CADM3__L2-L3-eNeuron|STX1A__L6-eNeuron
CADM3__L2-L3-eNeuron|SV2A__L5-eNeuron
CADM3__L2-L3-eNeuron|SV2A__L6-eNeuron
CADM3__L6-eNeuron|ADCY1__L2-L3-eNeuron
CADM3__L6-eNeuron|ADCY1__L5-eNeuron
CADM3__L6-eNeuron|ADORA1__L5-eNeuron
CADM3__L6-eNeuron|CADM3__L2-L3-eNeuron
CADM3__L6-eNeuron|CADM3__L5-eNeuron
CADM3__L6-eNeuron|CAP1__L5-eNeuron
CADM3__L6-eNeuron|CNTNAP1__L5-eNeuron
CADM3__L6-eNeuron|EPHB6__L5-eNeuron
CADM3__L6-eNeuron|FLOT1__L5-eNeuron
CADM3__L6-eNeuron|GABBR2__L5-eNeuron
CADM3__L6-eNeuron|GLG1__L5-eNeuron
CADM3__L6-eNeuron|HRH3__L5-eNeuron
CADM3__L6-eNeuron|KCNJ4__L2-L3-eNeuron
CADM3__L6-eNeuron|KCNJ4__L4-eNeuron
CADM3__L6-eNeuron|KCNJ4__L5-eNeuron
CADM3__L6-eNeuron|LINGO1__L2-L3-eNeuron
CADM3__L6-eNeuron|LINGO1__L4-eNeuron
CADM3__L6-eNeuron|LINGO1__L5-eNeuron
CADM3__L6-eNeuron|NLGN2__L5-eNeuron
CADM3__L6-eNeuron|RTN4R__L4-eNeuron
CADM3__L6-eNeuron|RTN4R__L5-eNeuron
CADM3__L6-eNeuron|SLC17A7__L2-L3-eNeuron
CADM3__L6-eNeuron|SLC17A7__L4-eNeuron
CADM3__L6-eNeuron|SLC17A7__L5-eNeuron
CADM3__L6-eNeuron|STX1A__L2-L3-eNeuron
CADM3__L6-eNeuron|STX1A__L5-eNeuron
CADM3__L6-eNeuron|SV2A__L5-eNeuron
GAS6__L5-eNeuron|ADCY1__L2-L3-eNeuron
GAS6__L5-eNeuron|ADCY1__L6-eNeuron
