Sender,Receiver,Ligand,Receptor,LRscore,all
astrocytes,Olig,LAMC1,SV2A,20.705727950311754,astrocytes_LAMC1_Olig_SV2A
endothelial,OPC,LAMC1,SV2A,12.630307172453675,endothelial_LAMC1_OPC_SV2A
endothelial,Olig,LAMC1,SV2A,17.06548638713042,endothelial_LAMC1_Olig_SV2A
endothelial,astrocytes,LAMC1,SV2A,14.102106482618868,endothelial_LAMC1_astrocytes_SV2A
mural,OPC,LAMC1,SV2A,11.886161075650012,mural_LAMC1_OPC_SV2A
mural,Olig,LAMC1,SV2A,21.708904563600797,mural_LAMC1_Olig_SV2A
mural,astrocytes,LAMC1,SV2A,18.63879565906236,mural_LAMC1_astrocytes_SV2A
microglia,astrocytes,MFNG,NOTCH1,8.323108319675942,microglia_MFNG_astrocytes_NOTCH1
microglia,endothelial,MFNG,NOTCH1,7.441356405815135,microglia_MFNG_endothelial_NOTCH1
microglia,mural,MFNG,NOTCH1,6.267919347252814,microglia_MFNG_mural_NOTCH1
mural,astrocytes,MFNG,NOTCH1,7.000073365155042,mural_MFNG_astrocytes_NOTCH1
mural,endothelial,MFNG,NOTCH1,4.8268856201568235,mural_MFNG_endothelial_NOTCH1
endothelial,mural,NID1,ITGB1,4.021391740608658,endothelial_NID1_mural_ITGB1
Olig,OPC,OMG,LINGO1,6.088388244896174,Olig_OMG_OPC_LINGO1
Olig,astrocytes,OMG,LINGO1,8.190218311032583,Olig_OMG_astrocytes_LINGO1
microglia,OPC,OMG,LINGO1,14.735921420526322,microglia_OMG_OPC_LINGO1
microglia,astrocytes,OMG,LINGO1,11.165862664824726,microglia_OMG_astrocytes_LINGO1
endothelial,astrocytes,PDGFB,LRP1,8.794840991760733,endothelial_PDGFB_astrocytes_LRP1
endothelial,mural,PDGFB,LRP1,9.152289711014747,endothelial_PDGFB_mural_LRP1
microglia,astrocytes,PDGFB,LRP1,11.50852851651888,microglia_PDGFB_astrocytes_LRP1
microglia,mural,PDGFB,LRP1,11.515110960074898,microglia_PDGFB_mural_LRP1
endothelial,mural,PDGFB,PDGFRB,2.7092335512823897,endothelial_PDGFB_mural_PDGFRB
microglia,mural,PDGFB,PDGFRB,8.450780906855742,microglia_PDGFB_mural_PDGFRB
endothelial,astrocytes,PDGFB,S1PR1,8.136687092266294,endothelial_PDGFB_astrocytes_S1PR1
endothelial,mural,PDGFB,S1PR1,5.666002495531003,endothelial_PDGFB_mural_S1PR1
