cell,cluster,x,y
cell_128,L4-eNeuron,2990.89,-837.63
cell_129,L4-eNeuron,2904.34,-667.59
cell_130,L4-eNeuron,2865.11,-575.64
cell_131,L4-eNeuron,2863.69,-830.55
cell_132,L4-eNeuron,2773.15,-822.66
cell_133,L4-eNeuron,2719.27,-926.19
cell_134,L4-eNeuron,3561.82,-1601.6
cell_135,L5-eNeuron,3523.37,-1354.5
cell_136,L4-eNeuron,3495.02,-1800.3
cell_137,astrocytes,3492.02,-1675.2
cell_138,L5-eNeuron,3423.84,-1597.6
cell_139,L4-eNeuron,3420.45,-911.59
cell_140,L4-eNeuron,3388.07,-1512.5
cell_141,L4-eNeuron,3289.95,-1083.2
cell_142,L4-eNeuron,3286.12,-1606.3
cell_143,L4-eNeuron,3229.47,-1456.6
cell_144,L4-eNeuron,3163.33,-1464.7
cell_145,L4-eNeuron,3140.89,-1080.9
cell_146,OPC,3155.23,-1255.1
cell_147,L4-eNeuron,3144.8,-1814.4
cell_148,L4-eNeuron,3126.12,-1320.5
cell_149,L4-eNeuron,3099.55,-376.66
cell_150,L4-eNeuron,3054.52,-301.91
cell_151,Lhx6-iNeuron,3054.32,-1376.3
cell_152,L4-eNeuron,3039.23,-1224.7
cell_153,L4-eNeuron,3011.5,-407.08
cell_154,L4-eNeuron,2997.63,-1439.6
cell_155,endothelial,2906.28,-1660.6
cell_156,mural,2897.63,-1213.6
cell_157,L4-eNeuron,2869.05,-1581.2
cell_158,L4-eNeuron,2865.05,-1496.8
cell_159,L4-eNeuron,2853.74,-375.37
cell_160,astrocytes,2856.53,-451.05
cell_161,L4-eNeuron,2847.87,-508.2
cell_162,L4-eNeuron,2836.59,-1402.5
cell_163,L4-eNeuron,2807.27,-1159.9
cell_164,L4-eNeuron,2746.73,-1495.1
cell_165,L4-eNeuron,2729.73,-366.94
cell_166,L4-eNeuron,2729.87,-1388.5
cell_167,L4-eNeuron,2722.57,-513.53
cell_168,endothelial,2710.83,-1039.8
cell_169,L4-eNeuron,2700.37,-289.92
cell_170,L4-eNeuron,2686.47,-1555.4
cell_171,astrocytes,2657.27,-397.93
cell_172,L4-eNeuron,2639.67,-1816.8
cell_173,L4-eNeuron,2637.67,-1311.8
cell_174,L4-eNeuron,2633.27,-1223.2
cell_175,L4-eNeuron,2621.07,-1954.9
cell_176,L4-eNeuron,2624.17,-1410.2
cell_177,Adarb2-iNeuron,2615.77,-1675.7
cell_178,endothelial,2607.77,-1002.1
cell_179,L4-eNeuron,2599.27,-1103.8
cell_180,L4-eNeuron,2590.07,-247.23
cell_181,L4-eNeuron,2583.17,-1534.7
cell_182,L4-eNeuron,2569.37,-493.17
cell_183,L4-eNeuron,2563.67,-176.2
cell_184,L4-eNeuron,2543.37,-1197.8
cell_185,L4-eNeuron,2528.47,-1370.7
cell_186,L4-eNeuron,2530.87,-324.83
cell_187,L4-eNeuron,2529.57,-1443.6
cell_188,L4-eNeuron,2503.17,-427.71
cell_189,L4-eNeuron,2501.77,-1535.1
cell_190,L4-eNeuron,2463.47,-900.27
cell_191,L4-eNeuron,2445.37,-224.88
cell_192,L4-eNeuron,2421.67,-1461.1
cell_193,astrocytes,2414.97,-1021.7
cell_194,L4-eNeuron,2408.07,-1117.7
cell_195,L2-L3-eNeuron,2413.27,-440.01
cell_196,L4-eNeuron,2407.37,-1737.6
cell_197,L4-eNeuron,2385.87,-945.65
cell_198,endothelial,2364.97,-368.95
cell_199,Adarb2-iNeuron,2376.57,-561.77
cell_200,L4-eNeuron,2323.37,-1802.9
cell_201,L4-eNeuron,2332.07,-1326.7
cell_202,astrocytes,2309.97,-1687.2
cell_203,L4-eNeuron,2296.57,-514.6
cell_204,Lhx6-iNeuron,2285.47,-1241.1
cell_205,L4-eNeuron,2279.77,-861.75
cell_206,endothelial,2251.07,-590.72
cell_207,L4-eNeuron,2252.07,-743.94
cell_208,L4-eNeuron,2247.57,-1463.2
cell_209,L4-eNeuron,2240.87,-1109
cell_210,L4-eNeuron,2226.67,-464.69
cell_211,L4-eNeuron,2203.27,-918.22
cell_212,L4-eNeuron,2197.37,-1748.9
cell_213,endothelial,2162.97,-1205.4
cell_214,L2-L3-eNeuron,2153.47,-743.17
cell_215,L2-L3-eNeuron,2126.17,-1087.2
cell_216,L4-eNeuron,2099.27,-856.63
cell_217,L4-eNeuron,2104.27,-531.71
cell_218,L4-eNeuron,2086.87,-1751.5
cell_219,L4-eNeuron,2082.07,-653.89
cell_220,Adarb2-iNeuron,2083.87,-1625.7
cell_221,endothelial,2067.77,-751.4
cell_222,L4-eNeuron,2052.37,-1164.1
cell_223,L4-eNeuron,2034.97,-1536.8
cell_224,L4-eNeuron,1986.67,-1020.7
cell_225,L4-eNeuron,1965.17,-918.24
cell_226,L4-eNeuron,1876.87,-1046.5
cell_227,endothelial,5195.67,-1033.1
cell_228,L5-eNeuron,5159.8,-794.27
cell_229,L5-eNeuron,5119.29,-892.49
cell_230,L5-eNeuron,4970.61,-1037.7
cell_231,L5-eNeuron,4997.85,-1174.9
cell_232,L5-eNeuron,4899.09,-864.35
cell_233,L6-eNeuron,4879.9,-1112.1
cell_234,L5-eNeuron,4851.6,-1240.8
cell_235,L5-eNeuron,4823.56,-1365.4
cell_236,L5-eNeuron,4804.11,-713.46
cell_237,L4-eNeuron,4721.72,-1351.7
cell_238,L6-eNeuron,4682.87,-874.24
cell_239,L6-eNeuron,4669.97,-1231.8
cell_240,mural,4637.17,-1699.3
cell_241,L4-eNeuron,4607.14,-1336
cell_242,L5-eNeuron,4547.35,-568.71
cell_243,L5-eNeuron,4537.9,-1744.9
cell_244,L5-eNeuron,4510.15,-1145.7
cell_245,astrocytes,4483.3,-1047.9
cell_246,Lhx6-iNeuron,4442.22,-493.04
cell_247,L6-eNeuron,4436.92,-999.3
cell_248,L6-eNeuron,4418.12,-1623.1
cell_249,L6-eNeuron,4406.42,-1437.8
cell_250,L5-eNeuron,4392.42,-752.18
cell_251,L5-eNeuron,4317.02,-490.18
cell_252,L5-eNeuron,4240.52,-1073.6
cell_253,endothelial,4243.82,-1585.5
cell_254,L4-eNeuron,4222.32,-761.15
cell_255,L6-eNeuron,4172.12,-529.72
cell_256,L5-eNeuron,4192.32,-872.18
cell_257,astrocytes,4158.92,-800.37
cell_258,L5-eNeuron,4094.92,-1122.9
cell_259,L5-eNeuron,4082.02,-1281.7
cell_260,L5-eNeuron,4032.92,-1487.7
cell_261,Lhx6-iNeuron,3993.32,-1168.7
cell_262,L5-eNeuron,3968.02,-1620.9
cell_263,L5-eNeuron,3946.22,-998.12
cell_264,endothelial,3877.72,-906.57
cell_265,Lhx6-iNeuron,3829.02,-1769.8
cell_266,endothelial,3810.52,-974.49
cell_267,Lhx6-iNeuron,3812.72,-1879.2
cell_268,Lhx6-iNeuron,3740.62,-1473.7
cell_269,Lhx6-iNeuron,3661.02,-873.9
cell_270,L5-eNeuron,3673.02,-1327.8
cell_271,Olig,5210.52,-1507.3
cell_272,L5-eNeuron,5074.16,-1522.7
cell_273,L6-eNeuron,5049.17,-1655.5
cell_274,L5-eNeuron,5024.13,-1415.4
cell_275,Lhx6-iNeuron,4952.79,-1309.2
cell_276,L6-eNeuron,4929.39,-1484.8
cell_277,L6-eNeuron,4888.54,-1668.2
cell_278,L5-eNeuron,4759.77,-1474.1
cell_279,Lhx6-iNeuron,4016.92,-876.46
cell_280,L5-eNeuron,3962.02,-1734.5
cell_281,L5-eNeuron,3828.12,-1652.8
cell_282,mural,3823.62,-1371.3
cell_283,astrocytes,5297.77,-707.72
cell_284,L5-eNeuron,5288.5,-520.95
cell_285,L5-eNeuron,5266.38,-623.17
cell_286,L5-eNeuron,5149.68,-1818.8
cell_287,L6-eNeuron,5134.28,-551.91
cell_288,astrocytes,5101.7,-633.05
cell_289,L6-eNeuron,5019.92,-1820.3
cell_290,endothelial,5016.97,-703.15
cell_291,L6-eNeuron,5003.98,-573.52
cell_292,L5-eNeuron,4872.74,-539.39
cell_293,L5-eNeuron,4802.82,-420.87
cell_294,Lhx6-iNeuron,4800.77,-325.13
cell_295,L4-eNeuron,4685.65,-1042.1
cell_296,L5-eNeuron,4653.69,-300.32
cell_297,endothelial,4630.36,-713.42
cell_298,astrocytes,4570.03,-756.36
cell_299,L5-eNeuron,4554.35,-414.39
cell_300,L5-eNeuron,4510.78,-257.98
cell_301,L5-eNeuron,4278.02,-1904.6
cell_302,OPC,4219.92,-1273.9
cell_303,Lhx6-iNeuron,4218.32,-1803.1
cell_304,L5-eNeuron,4212.72,-174.8
cell_305,L5-eNeuron,4131.72,-1936
cell_306,Olig,3967.12,-695.89
cell_307,L4-eNeuron,3950.32,-602.98
cell_308,L5-eNeuron,3957.12,-212.18
cell_309,L6-eNeuron,3943.12,-355.41
cell_310,Lhx6-iNeuron,3871.12,-496.92
cell_311,L5-eNeuron,3774.32,-644.44
cell_312,L6-eNeuron,3734.02,-374.85
cell_313,L5-eNeuron,3632.42,-546.78
cell_314,Lhx6-iNeuron,3623.42,-411.24
cell_315,endothelial,4253.22,-1202.5
cell_316,OPC,4170.42,-1411.1
cell_317,L6-eNeuron,6953.87,-734.12
cell_318,OPC,6939.31,-1601.5
cell_319,endothelial,6921.24,-1495.3
cell_320,L6-eNeuron,6840.72,-1033.3
cell_321,L6-eNeuron,6831.4,-723.27
cell_322,L6-eNeuron,6835.25,-863.07
cell_323,L6-eNeuron,6800.38,-1135.9
cell_324,L6-eNeuron,6774.13,-1297.7
cell_325,L6-eNeuron,6724.11,-701.05
cell_326,astrocytes,6709.27,-854.93
cell_327,L6-eNeuron,6716.01,-352.2
cell_328,mural,6687.35,-995.24
cell_329,L6-eNeuron,6675.56,-1091.3
cell_330,Adarb2-iNeuron,6668.01,-1468.1
cell_331,microglia,6600.69,-1285.5
cell_332,Olig,6588.96,-1700.8
cell_333,L6-eNeuron,6561.13,-653.28
cell_334,microglia,6521.45,-726.66
cell_335,L6-eNeuron,6534.37,-1234
cell_336,astrocytes,6525.94,-877.47
cell_337,L6-eNeuron,6479.36,-432.99
cell_338,L6-eNeuron,6486.6,-1599.6
cell_339,L6-eNeuron,6469.98,-1184
cell_340,astrocytes,6474.36,-1715.2
cell_341,Olig,6431.93,-966.9
cell_342,L6-eNeuron,6422.09,-856.05
cell_343,L5-eNeuron,6406.68,-716.81
cell_344,L6-eNeuron,6399.85,-1873.1
cell_345,microglia,6395.82,-366.31
cell_346,L6-eNeuron,6385.38,-1698
cell_347,astrocytes,6336.58,-1441.5
cell_348,L6-eNeuron,6360.15,-985.08
cell_349,L6-eNeuron,6359.06,-1559.7
cell_350,mural,6356.29,-482.59
cell_351,L6-eNeuron,6345.2,-859.35
cell_352,L6-eNeuron,6323.91,-1768.8
cell_353,L6-eNeuron,6315.73,-1052.8
cell_354,endothelial,6306.06,-469.33
cell_355,L6-eNeuron,6275.53,-1909.7
cell_356,L6-eNeuron,6257.98,-699.51
cell_357,L5-eNeuron,6241.22,-993.52
cell_358,astrocytes,6246.83,-475.36
cell_359,Adarb2-iNeuron,6233.12,-1725.6
cell_360,L6-eNeuron,6214.46,-775.74
cell_361,mural,6224.08,-914.75
cell_362,endothelial,6229.47,-1374.1
cell_363,L6-eNeuron,6198.16,-847.67
cell_364,L6-eNeuron,6211.56,-1124.1
cell_365,L6-eNeuron,6192.55,-499
cell_366,L6-eNeuron,6201.32,-336.15
cell_367,Olig,6179.26,-1539.6
cell_368,L2-L3-eNeuron,6116.47,-1473.9
cell_369,L5-eNeuron,6087.17,-904.01
cell_370,L6-eNeuron,6072.37,-520.84
cell_371,L6-eNeuron,6038.97,-413.05
cell_372,L6-eNeuron,6038.87,-1345.6
cell_373,Lhx6-iNeuron,6017.67,-1487.5
cell_374,L5-eNeuron,6005.87,-1010.8
cell_375,L6-eNeuron,5996.07,-271.68
cell_376,L6-eNeuron,5980.97,-475.72
cell_377,L6-eNeuron,5989.77,-1259.8
cell_378,L6-eNeuron,5971.07,-580.9
cell_379,L6-eNeuron,5950.47,-1083.2
cell_380,endothelial,5955.67,-1612.4
cell_381,L6-eNeuron,5963.77,-748.67
cell_382,Lhx6-iNeuron,5923.57,-1758.6
cell_383,L6-eNeuron,5918.57,-894.31
cell_384,L6-eNeuron,5909.47,-1354
cell_385,endothelial,5858.87,-1227.8
cell_386,L6-eNeuron,5850.27,-536.66
cell_387,L6-eNeuron,5804.97,-1534.4
cell_388,L6-eNeuron,5807.27,-784.88
